Name,Bio,Identifier,B.A.,B.S.,J.D.,Ph.D.,M.B.A,M.A.,M.S.,M.P.H.,M.D.,D.M.D.
"BECERRA, Xavier","['a Representative from California; born in Sacramento, Sacramento \r', 'County, Calif., January 26, 1958; B.A., Stanford University, Stanford, Calif., \r', '1980; J.D., Stanford University, Stanford., Calif., 1984; lawyer, private \r', 'practice; staff, California state senator Art Torres, 1986; deputy attorney \r', 'general, Office of the Attorney General, State of California, 1987-1990; member \r', 'of the California state assembly, 1990-1992; elected as a Democrat to the One \r', 'Hundred Third and to the twelve succeeding Congresses until his resignation on \r', 'January 24, 2017 (January 3, 1993-January 24, 2017); chair, House Democratic \r', 'Caucus (One Hundred Thirteenth and One Hundred Fourteenth Congresses); attorney \r', 'general of California, 2017-present.\r']",B000287,1,0,1,0,0,0,0,0,0,0
"BERKLEY, Shelley","['a Representative from Nevada; born Rochelle Levine in New York, \r', 'N.Y., January 20, 1951; graduated from Valley High School, Las Vegas, Nev.; \r', 'B.A., University of Nevada, Las Vegas, 1972; J.D., University of San Diego Law \r', 'School, San Diego, Calif., 1976; member, Nevada state assembly, 1983-1985; \r', 'member, Nevada University and Community College System Board of Regents, \r', '1990-1998; elected as a Democrat to the One Hundred Sixth and to the six \r', 'succeeding Congresses (January 3, 1999-January 3, 2013); was not a candidate \r', 'for reelection in 2012, but was an unsuccessful candidate for election to the \r', 'United States Senate.\r']",B001231,1,0,1,0,0,0,0,0,0,0
"BERMAN, Howard Lawrence","['a Representative from California; born in Los Angeles, Los Angeles \r', 'County, Calif., April 15, 1941; graduated from Hamilton High School, Los \r', 'Angeles, Calif., 1959; B.A., University of California, Los Angeles, Calif., \r', '1962; LL.B., University of California School of Law, Los Angeles, Calif., 1965; \r', 'lawyer, private practice; VISTA volunteer, 1966-1967; member of the California \r', 'state assembly, 1973-1982; delegate, Democratic National Convention, 1968, \r', '1976, and 1984; elected as a Democrat to the Ninety-eighth and to the fourteen \r', 'succeeding Congresses (January 3, 1983-January 3, 2013); chair, Committee on \r', 'Foreign Affairs (One Hundred Tenth and One Hundred Eleventh Congresses); \r', 'unsuccessful candidate for reelection to the One Hundred Thirteenth Congress in \r', '2012. \r']",B000410,1,0,0,0,0,0,0,0,0,0
"BERRY, Robert Marion","['a Representative from Arkansas; born in Stuttgart, Arkansas County, \r', 'Ark., August 27, 1942; graduated from DeWitt High School, DeWitt, Ark.; B.S., \r', 'University of Arkansas for Medical Sciences, 1965; farmer; Gillett, Ark., city \r', 'council, 1976-1980; Arkansas Soil and Water Conservation Commission, 1986-1994; \r', 'White House Domestic Policy Council, 1993-1996; special assistant to President \r', 'William Clinton for Agricultural Trade and Food Assistance, 1993-1996; elected \r', 'as a Democrat to the One Hundred Fifth and to the six succeeding Congresses \r', '(January 3, 1997-January 3, 2011); was not a candidate for reelection to the \r', 'One Hundred Twelfth Congress in 2010.\r']",B000420,0,1,0,0,0,0,0,0,0,0
"BIGGERT, Judy Borg","[' a Representative from Illinois; born in Chicago, Cook County, Ill., \r', 'August 15, 1937; attended New Trier High School, Winnetka, Ill.; B.A., Stanford \r', 'University, Stanford, Calif., 1959; J.D., Northwestern University School of \r', 'Law, Evanston, Ill., 1963; clerk to Judge Luther M. Swygert, U.S. Court of \r', 'Appeals, 7th Circuit, 1963-1964; president, board of education, Hinsdale \r', 'Township High School district 86, Hinsdale Township, Ill., 1983-1986; member, \r', 'Illinois state house of representatives, 1993-1998; elected as a Republican to \r', 'the One Hundred Sixth and to the six succeeding Congresses (January 3, \r', '1999-January 3, 2013); unsuccessful candidate for reelection to the One Hundred \r', 'Thirteenth Congress in 2012.\r']",B001232,1,0,1,0,0,0,0,0,0,0
"BILBRAY, Brian P.","[' (cousin of James Hubert Bilbray), \r', 'a Representative from California; born in Coronado, Calif., January \r', '28, 1951; graduated Mar Vista High School; attended South Western College; tax \r', 'consultant; city council; Imperial Beach, Calif., 1976-1978; mayor, Imperial \r', 'Beach, Calif., 1978-1985; San Diego County Board of Supervisors, 1985-1995; \r', 'elected as a Republican to the One Hundred Fourth and to the two succeeding \r', 'Congresses (January 3, 1995-January 3, 2001); unsuccessful candidate for \r', 'reelection to the One Hundred Seventh Congress; elected as a Republican, by \r', 'special election, to fill the vacancy caused by the resignation of United \r', 'States Representative Randall (Duke) Cunningham and reelected to the three \r', 'succeeding Congresses (June 6, 2006-January 3, 2013); unsuccessful candidate \r', 'for reelection to the One Hundred Thirteenth Congress in 2012. \r']",B000461,0,0,0,0,0,0,0,0,0,0
"BILIRAKIS, Gus","[' (son of Michael Bilirakis), \r', 'a Representative from Florida; born in Gainesville, Alachua County, \r', 'Fla., February 8, 1963; attended St. Petersburg Junior College, St. Petersburg, \r', 'Fla., 1981-1983; B.A., University of Florida, Gainesville, Fla., 1986; J.D., \r', 'Stetson University, St. Petersburg, Fla., 1989; lawyer, private practice; \r', 'professor; member of the Florida state house of representatives, 1998-2006; \r', 'elected as a Republican to the One Hundred Tenth and to the five succeeding \r', 'Congresses (January 3, 2007-present).\r']",B001257,1,0,1,0,0,0,0,0,0,0
"BISHOP, Robert (Rob)","['a Representative from Utah; born in Kaysville, Utah, July 13, 1951; \r', 'B.A., University of Utah, Salt Lake City, Utah, 1974; teacher; professional \r', 'advocate; member of the Utah state house of representatives, 1979-1994, \r', 'speaker, 1992-1994; elected as a Republican to the One Hundred Eighth and to \r', 'the seven succeeding Congresses (January 3, 2003-present); chairman, Committee \r', 'on Natural Resources (One Hundred Fourteenth and One Hundred Fifteenth \r', 'Congresses).\r']",B001250,1,0,0,0,0,0,0,0,0,0
"BISHOP, Sanford Dixon, Jr.","['a Representative from Georgia; born in Mobile, Mobile County, Ala., \r', 'February 4, 1947; graduated from Central High School, Mobile, Ala., 1964; B.A., \r', 'Morehouse College, Atlanta, Ga., 1968; J.D., Emory University, \r', 'Atlanta, Ga., 1971; lawyer, private practice; United States Army, 1969-1971; \r', 'member of the Georgia state house of representatives, 1977-1991; member of the \r', 'Georgia state senate, 1991-1993; elected as a Democrat to the One Hundred Third \r', 'and to the twelve succeeding Congresses (January 3, 1993-present).\r']",B000490,1,0,1,0,0,0,0,0,0,0
"BISHOP, Timothy H.","['a Representative from New York; born in Southampton, Suffolk County, \r', 'N.Y., June 1, 1950; graduated from Southampton High School, Southampton, N.Y., \r', '1968; A.B., Holy Cross College, Worcester, Mass., 1972; M.A., Long Island \r', 'University, Long Island, N.Y., 1981; administrator, Southampton College, \r', 'Southampton, N.Y., 1973-2002; elected as a Democrat to the One Hundred Eighth \r', 'and to the five succeeding Congresses (January 3, 2003-January 3, 2015); \r', 'unsuccessful candidate for reelection to the One Hundred Fourteenth Congress in \r', '2014.\r']",B001242,1,0,0,0,0,1,0,0,0,0
"BLACKBURN, Marsha","['a Senator and a Representative from Tennessee; born in Laurel, Jones County, Miss., June 6, 1952; graduated from Northeast Jones High School, Laurel, Miss.; B.S. Mississippi State University, Starkville, Miss., 1973; business owner; private advocate; unsuccessful candidate for election to the One Hundred Third Congress in 1992; member of the Tennessee state senate, 1998-2002; elected as a Republican to the One Hundred Eighth and to the seven succeeding Congresses (January 3, 2003-January 3, 2019); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2018 for the term ending January 3, 2025.  \r']",B001243,0,1,0,0,0,0,0,0,0,0
"BLUMENAUER, Earl","['a Representative from Oregon; born in Portland, Multnomah County, \r', 'Oreg., August 16, 1948; graduated from Centennial High School, Portland, Oreg., \r', '1966; B.A., Lewis and Clark College, Portland, Oreg., 1970; J.D., Lewis and \r', 'Clark Law School, Portland, Oreg., 1976; assistant to the president of Portland \r', 'State University, Portland, Oreg., 1970-1977; member of the Oregon state house \r', 'of representatives, 1973-1978; member of the board of directors, Portland \r', 'Community College, 1975-1981; Multnomah County, Oreg., commissioner, 1978-1985; \r', 'Portland, Oreg., city commissioner, 1986-1996; served on the Governor&#x2019;s \r', 'commission on higher education, 1990-1991; elected as a Democrat, by special \r', 'election, to the One Hundred Fourth Congress to fill the vacancy caused by the \r', 'resignation of United States Representative Ronald Lee Wyden, and reelected to \r', 'the eleven succeeding Congresses (May 21, 1996-present). \r']",B000574,1,0,1,0,0,0,0,0,0,0
"BLUNT, Roy","['a Senator and a Representative from Missouri; born in Niangua, \r', 'Webster County, Mo., January 10, 1950; graduated Southwest Baptist University, \r', 'Bolivar, Mo., B.A., 1970; graduated Missouri State University, Springfield, \r', 'Mo., M.A., 1972; high school history teacher; clerk and chief election officer, \r', 'Greene County, Mo. 1973-1984; Missouri state secretary of state 1984-1993; \r', 'president, Southwest Baptist University, Bolivar, Mo. 1993-1996; elected as a \r', 'Republican to the One Hundred Fifth and to the six succeeding Congresses \r', '(January 3, 1997-January 3, 2011); majority whip (One Hundred Eighth through \r', 'One Hundred Ninth Congresses); acting majority leader (One Hundred Ninth \r', 'Congress, September 28, 2005-February 2, 2006); minority whip (One Hundred \r', 'Tenth Congress); was not a candidate for reelection to the House of \r', 'Representatives but was elected as a Republican to the United States Senate in \r', '2010; reelected in 2016  for the term ending January 3, 2023; vice-chair, Republican Conference \r', '(2012-); chair, Committee on Rules and Administration (One Hundred Fourteenth \r', 'Congress, One Hundred Fifteenth Congress [January 3, 2017-January 20, 2017]). \r']",B000575,1,0,0,0,0,1,0,0,0,0
"BOCCIERI, John A.","['a Representative from Ohio; born in Youngstown, Mahoning County, \r', 'Ohio, October 5, 1969; graduated from Ursuline High School, Youngstown, Ohio, \r', '1988; B.S., St. Bonaventure University, St. Bonaventure, N.Y., 1992; M.A., \r', 'Webster University, St. Louis, Mo., 1996; M.P.A., Webster University, St. \r', 'Louis, Mo., 1996; United States Air Force, 1994-1998; Ohio Air National Guard, \r', '1998-2000; Air Force Reserve, 2000-present; member, Ohio state house of \r', 'representatives, 2001-2007; member, Ohio state senate, 2007-2008; elected as a \r', 'Democrat to the One Hundred Eleventh Congress (January 3, 2009-January 3, \r', '2011); unsuccessful candidate for reelection to the One Hundred Twelfth \r', 'Congress in 2010. \r']",B001263,0,1,0,0,0,1,0,0,0,0
"BOEHNER, John Andrew","['a Representative from Ohio; born in Cincinnati, Hamilton County, Ohio, November 17, 1949; graduated from Moeller High School, Cincinnati, Ohio, 1968; B.S., Xavier University, Cincinnati, Ohio, 1977; United States Navy, 1968; businessman; business executive; member of the Union Township, Ohio, board of trustees, 1981, and president, 1984; member of the Ohio state house of representatives, 1985-1990; elected as a Republican to the One Hundred Second and to the twelve succeeding Congresses, and served until his resignation on October 31, 2015 (January 3, 1991-October 31, 2015); House Republican Conference Chairman, 1995-1999; chair, Committee on Education and the Workforce (One Hundred Seventh through One Hundred Ninth Congresses); majority leader (One Hundred Ninth Congress); minority leader (One Hundred Tenth and One Hundred Eleventh Congress); Speaker of the House (One Hundred Twelfth through One Hundred Fourteenth Congresses). \r']",B000589,0,1,0,0,0,0,0,0,0,0
"BONNER, Jr., Josiah Robins (Jo)","['a Representative from Alabama; born in Selma, Dallas County, Ala., \r', 'November 19, 1959; B.A., University of Alabama, 1982; attended University of \r', 'Alabama Law School; staff, United States Representative Sonny Callahan of \r', 'Alabama, 1985-2002; elected as a Republican to the One Hundred Eighth and to \r', 'the five succeeding Congresses until his resignation on August 2, 2013 (January \r', '3, 2003-August 2, 2013); chair, Committee on Ethics (One Hundred Twelfth \r', 'Congress).\r']",B001244,1,0,0,0,0,0,0,0,0,0
"BONO, Mary","[' (wife of Sonny Bono and Connie Mack IV, daughter-in-law of Connie \r', 'Mack III, elected under the name Mary Bono Mack in the One Hundred Eleventh and \r', 'one succeeding Congress), \r', 'a Representative from California; born Mary Whitaker in Cleveland, \r', 'Cuyahoga County, Ohio, October 24, 1961; B.A., University of Southern \r', 'California, Los Angeles, Calif.; restaurant business manager; personal fitness \r', 'instructor; board of the Palm Springs, Calif., International Film Festival; \r', 'elected as a Republican to the One Hundred Fifth Congress, by special election \r', 'to fill the vacancy caused by the death of her husband, United States \r', 'Representative Sonny Bono, reelected to the seven succeeding Congresses (April \r', '7, 1998-January 3, 2013); unsuccessful candidate for reelection to the One \r', 'Hundred Thirteenth Congress in 2012.\r']",B001228,1,0,0,0,0,0,0,0,0,0
"BOOZMAN, John","['a Senator and a Representative from Arkansas; born in Shreveport, \r', 'La., December 10, 1950; graduated from Northside High School, Fort Smith, Ark.; \r', 'attended the University of Arkansas, Fayetteville, Ark., 1969-1972; graduated \r', 'Southern College of Optometry, 1977; optometrist; business owner; rancher; \r', 'member of the Rogers, Ark., school board; elected as a Republican to the One \r', 'Hundred Seventh Congress by special election to fill the vacancy caused by the \r', 'resignation of United States Representative Asa Hutchinson; reelected to the \r', 'four succeeding Congresses (November 20, 2001-January 3, 2011); was not a \r', 'candidate for reelection to the House of Representatives but was elected as a \r', 'Republican to the United States Senate in 2010; reelected in 2016  for the term ending January 3, \r', '2023.\r']",B001236,0,0,0,0,0,0,0,0,0,0
