(1) went to new D (2) went to new R (3) open seat to D (4) open seat to R (5) Pa: didn’t return,,,2011,2013,2015,2017,2019,State,BA,BS,JD,PhD,MBA,MPA/MPP,MA ,MS,MPH,MD,DMD,Other bachelors,Other postgrad,JDs,Has a non-JD postgraduate degree,Has a MD,Has a bachelors or above,JD + another postgrad degree,Has a postgraduate degree,BS and Replaced,BA,BA and Replaced,NO BA or BS and Replaced,New Member,BA (Replacement),BS (Replacement),JD (Replacement),PhD (Replacement,MBA (Replacement),MPA/MPP (Replacement),MA (Replacement),MS (Replacement),MPH (Replacement),MD (Replacement),DMD (Replacement),Other bachelors,Other postgrad,,
,"Doug Lamborn, R-Colo.","U. of Kansas, B.S. 1978 (journalism)
U. of Kansas, J.D. 1985",,,1,1,1,Colo.,0,1,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"John B. Larson, D-Conn.","Central Connecticut State U., B.S. 1971 (history)",,,1,1,1,Conn.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Brenda Lawrence, D-Mich.","U. of Detroit, attended 1971-72
Central Michigan U., B.S. 2005 (public administration)",,,1,1,1,Mich.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Barry Loudermilk, R-Ga.","Community College of the Air Force, A.A.S. 1987 (telecommunications technology)
Wayland Baptist U., B.S. 1999 (occupational education)",,,1,1,1,Ga.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"David B. McKinley, R-W.Va.","Purdue U., B.S.C.E. 1969",,,1,1,1,W.Va.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Dan Newhouse, R-Wash.","Washington State U., B.S. 1977 (agricultural economics)",,,1,1,1,Wash.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Gary Palmer, R-Ala.","Northwest Alabama Junior College, attended 1972-74
U. of Alabama, B.S. 1977 (operations management)",,,1,1,1,Ala.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Steve Scalise, R-La.","Louisiana State U., B.S. 1989 (computer science)",,,1,1,1,La.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jan Schakowsky, D-Ill.","U. of Illinois, B.S. 1965 (elementary education)",,,1,1,1,Ill.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Adrian Smith, R-Neb.","Liberty U., attended 1989-90
U. of Nebraska, B.S. 1993 (secondary education)",,,1,1,1,Neb.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jason Smith, R-Mo.","U. of Missouri, B.S. 2001 (agricultural economics & business administration)
Oklahoma City U., J.D. 2004",,,1,1,1,Mo.,0,1,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Chris Stewart, R-Utah","Utah State U., B.S. 1984 (economics)",,,1,1,1,Utah,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Marc Veasey, D-Texas","Texas Wesleyan U., B.S. 1995 (mass communications)",,,1,1,1,Texas,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Peter J. Visclosky, D-Ind.","Indiana U., Northwest, B.S. 1970 (accounting)
U. of Notre Dame, J.D. 1973
Georgetown U., LL.M. 1982",,,1,1,1,Ind.,0,1,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Greg Walden, R-Ore.","U. of Alaska, attended 1974-75
U. of Oregon, B.S. 1981 (journalism)",,,1,1,1,Ore.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Randy Weber, R-Texas","Alvin Community College, attended 1971-74
U. of Houston, Clear Lake, B.S. 1977 (public affairs)",,,1,1,1,Texas,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bruce Westerman, R-Ark.","U. of Arkansas, B.S. 1990 (biological and agricultural engineering)
Yale U., M.F. 2001 (forestry)",,,1,1,1,Ark.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Roger Williams, R-Texas","Texas Christian U., B.S. 1972 (physical education)",,,1,1,1,Texas,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ted Yoho, R-Fla.","Broward Community College, A.A. 1977
U. of Florida, B.S.A. 1979 (animal science)
U. of Florida, D.V.M. 1983",,,1,1,1,Fla.,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Matt Cartwright, D-Pa.","Hamilton College, A.B. 1983 (history)
Temple U. School of Law, attended 1984
U. of Pennsylvania, J.D. 1986",,,1,1,1,Pa.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mike Kelly, R-Pa.","U. of Notre Dame, B.A. 1970 (sociology)",,,1,1,1,Pa.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Tom Marino, R-Pa.","Williamsport Area Community College, A.A. 1983
Lycoming College, B.A. 1985 (political science & secondary education)
Dickinson School of Law, J.D. 1988",,,1,1,1,Pa.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"John Katko, R-N.Y.","Niagara U., B.A. 1984 (political science)
Syracuse U., J.D. 1988",,,1,1,1,N.Y.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Peter T. King, R-N.Y.","St. Francis College, B.A. 1965 (history)
U. of Notre Dame, J.D. 1968",,,1,1,1,N.Y.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Nita M. Lowey, D-N.Y.","Mount Holyoke College, B.A. 1959 (political science)",,,1,1,1,N.Y.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Carolyn B. Maloney, D-N.Y.","Greensboro College, A.B. 1968
U. of North Carolina, attended 1968-69",,,1,1,1,N.Y.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Sean Patrick Maloney, D-N.Y.","Georgetown U., attended 1984-86
U. of Virginia, B.A. 1988 (foreign affairs)
U. of Virginia, J.D. 1992",,,1,1,1,N.Y.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Gregory W. Meeks, D-N.Y.","Adelphi U., B.A. 1975
Howard U., J.D. 1978",,,1,1,1,N.Y.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Grace Meng, D-N.Y.","U. of Michigan, B.A. 1997 (Chinese & history)
Yeshiva U., J.D. 2002",,,1,1,1,N.Y.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jerrold Nadler, D-N.Y.","Columbia U., A.B. 1969 (government)
Fordham U., J.D. 1978",,,1,1,1,N.Y.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Tom Reed, R-N.Y.","Alfred U., B.A. 1993 (political science)
Ohio Northern U., J.D. 1996",,,1,1,1,N.Y.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Kathleen Rice, D-N.Y.","Catholic U. of America, B.A. 1987 (English)
Touro Law Center, J.D. 1991",,,1,1,1,N.Y.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Elise Stefanik, R-N.Y.","Harvard U., A.B. 2006 (government)",,,1,1,1,N.Y.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Lee Zeldin, R-N.Y.","State U. of New York, Albany, B.A. 2001 (political science)
Albany Law School, J.D. 2003",,,1,1,1,N.Y.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Robert B. Aderholt, R-Ala.","Birmingham-Southern College, B.A. 1987 (history & political science)
Samford U., J.D. 1990",,,1,1,1,Ala.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Justin Amash, R-Mich.","U. of Michigan, B.A. 2002 (economics)
U. of Michigan, J.D. 2005",,,1,1,1,Mich.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mark Amodei, R-Nev.","U. of Nevada, B.A. 1980 (political science)
U. of the Pacific, J.D. 1983",,,1,1,1,Nev.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Andy Barr, R-Ky.","U. of Virginia, B.A. 1996 (government)
U. of Kentucky, J.D. 2001",,,1,1,1,Ky.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Donald S. Beyer Jr., D-Va.","Williams College, B.A. 1972 (economics)",,,1,1,1,Va.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Gus Bilirakis, R-Fla.","St. Petersburg Junior College, attended 1981-83
U. of Florida, B.A. 1986 (political science)
Stetson U., J.D. 1989",,,1,1,1,Fla.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Rob Bishop, R-Utah","U. of Utah, B.A. 1974 (political science)",,,1,1,1,Utah,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Sanford D. Bishop Jr., D-Ga.","Morehouse College, B.A. 1968 (political science)
Emory U., J.D. 1971",,,1,1,1,Ga.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Earl Blumenauer, D-Ore.","Lewis & Clark College, B.A. 1970 (political science)
Lewis & Clark College, J.D. 1976",,,1,1,1,Ore.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Suzanne Bonamici, D-Ore.","Lane Community College, A.A. 1978 (paralegal)
U. of Oregon, B.A. 1980 (journalism)
U. of Oregon, J.D. 1983",,,1,1,1,Ore.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mo Brooks, R-Ala.","Duke U., B.A. 1975 (economics & political science)
U. of Alabama, J.D. 1978",,,1,1,1,Ala.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Susan W. Brooks, R-Ind.","Miami U. (Ohio), B.A. 1982 (political science & sociology)
Indiana U., Indianapolis, J.D. 1985",,,1,1,1,Ind.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ken Buck, R-Colo.","Princeton U., A.B. 1981 (politics)
U. of Wyoming, J.D. 1985",,,1,1,1,Colo.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"G. K. Butterfield, D-N.C.","North Carolina Central U., B.A. 1971 (political science & sociology)
North Carolina Central U., J.D. 1974",,,1,1,1,N.C.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bradley Byrne, R-Ala.","Duke U., B.A. 1977 (public policy studies & history)
U. of Alabama, J.D. 1980",,,1,1,1,Ala.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ken Calvert, R-Calif.","Chaffey College, A.A. 1973 (business)
San Diego State U., B.A. 1975 (economics)",,,1,1,1,Calif.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"John Carter, R-Texas","Texas Technological College, B.A. 1964 (history)
U. of Texas, J.D. 1969",,,1,1,1,Texas,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Kathy Castor, D-Fla.","Emory U., B.A. 1988 (political science)
Florida State U., J.D. 1991",,,1,1,1,Fla.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Joaquin Castro, D-Texas","Stanford U., A.B. 1996 (communications)
Harvard U., J.D. 2000",,,1,1,1,Texas,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Steve Chabot, R-Ohio","College of William & Mary, A.B. 1975 (history)
Northern Kentucky U., J.D. 1978",,,1,1,1,Ohio,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"David Cicilline, D-R.I.","Brown U., A.B. 1983 (political science)
Georgetown U., J.D. 1986",,,1,1,1,R.I.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"James E. Clyburn, D-S.C.","South Carolina State College, B.A. 1962 (social studies)",,,1,1,1,S.C.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Steve Cohen, D-Tenn.","Vanderbilt U., B.A. 1971 (history)
Memphis State U., J.D. 1973",,,1,1,1,Tenn.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"K. Michael Conaway, R-Texas","East Texas State U., B.B.A. 1970 (accounting)",,,1,1,1,Texas,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jim Costa, D-Calif.","California State U., Fresno, B.A. 1974 (political science)",,,1,1,1,Calif.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Joe Courtney, D-Conn.","Tufts U., B.A. 1975 (history)
U. of Connecticut, J.D. 1978",,,1,1,1,Conn.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Elijah E. Cummings, D-Md.","Howard U., B.A. 1973 (political science)
U. of Maryland, J.D. 1976",,,1,1,1,Md.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Rodney Davis, R-Ill.","Millikin U., B.A. 1992 (political science)",,,1,1,1,Ill.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Diana DeGette, D-Colo.","Colorado College, B.A. 1979 (political science)
New York U., J.D. 1982",,,1,1,1,Colo.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Mark DeSaulnier, D-Calif.","College of the Holy Cross, B.A. 1974 (history)",,,1,1,1,Calif.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ted Deutch, D-Fla.","U. of Michigan, B.A. 1988 (political science)
U. of Michigan, J.D. 1990",,,1,1,1,Fla.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Lloyd Doggett, D-Texas","U. of Texas, B.B.A. 1967
U. of Texas, J.D. 1970",,,1,1,1,Texas,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Sean P. Duffy, R-Wis.","St. Mary's College (Minn.), B.A. 1994 (marketing)
William Mitchell College of Law, J.D. 1999",,,1,1,1,Wis.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jeff Duncan, R-S.C.","Clemson U., B.A. 1988 (political science)",,,1,1,1,S.C.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Tom Emmer, R-Minn.","Boston College, attended 1979-80
U. of Alaska, B.A. 1984 (political science)
William Mitchell College of Law, J.D. 1988",,,1,1,1,Minn.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Chuck Fleischmann, R-Tenn.","U. of Illinois, B.A.L.A.S. 1983 (political science)
U. of Tennessee, J.D. 1986",,,1,1,1,Tenn.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Lois Frankel, D-Fla.","Boston U., B.A. 1970 (psychology)
Georgetown U., J.D. 1973",,,1,1,1,Fla.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Tulsi Gabbard, D-Hawaii","Hawaii Pacific U., B.A. 2009 (international business)",,,1,1,1,Hawaii,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ruben Gallego, D-Ariz.","Harvard U., A.B. 2004 (government)",,,1,1,1,Ariz.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Louie Gohmert, R-Texas","Texas A&M U., B.A. 1975 (history)
Baylor U., J.D. 1977",,,1,1,1,Texas,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Tom Graves, R-Ga.","U. of Georgia, B.B.A. 1993 (finance)",,,1,1,1,Ga.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Morgan Griffith, R-Va.","Emory & Henry College, B.A. 1980 (history)
Washington and Lee U., J.D. 1983",,,1,1,1,Va.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Raúl M. Grijalva, D-Ariz.","U. of Arizona, B.A. 1987 (sociology)",,,1,1,1,Ariz.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Glenn Grothman, R-Wis.","U. of Wisconsin, B.B.A. 1977 (accounting)
U. of Wisconsin, J.D. 1983",,,1,1,1,Wis.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Alcee L. Hastings, D-Fla.","Fisk U., B.A. 1958 (biology)
Howard U. School of Law, attended 1958-60
Florida A&M U., J.D. 1963",,,1,1,1,Fla.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Denny Heck, D-Wash.","Evergreen State College, B.A. 1973
Portland State U., attended 1974-75",,,1,1,1,Wash.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jaime Herrera Beutler, R-Wash.","Seattle Pacific U., attended 1996-98
Bellevue Community College, A.A. 2003
U. of Washington, B.A. 2004 (communications)",,,1,1,1,Wash.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jim Himes, D-Conn.","Harvard U., A.B. 1988 (social studies)
Oxford U., M.Phil. 1990 (Rhodes scholar)",,,1,1,1,Conn.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"George Holding, R-N.C.","Wake Forest U., B.A. 1991 (classical studies)
U. of St. Andrews (Scotland), attended 1991-92
Wake Forest U., J.D 1996",0,1,1,1,1,N.C.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Richard Hudson, R-N.C.","U. of North Carolina, Charlotte, B.A. 1996 (history & political science)",,,1,1,1,N.C.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jared Huffman, D-Calif.","U. of California, Santa Barbara, B.A. 1986 (political science)
Boston College, J.D. 1990",,,1,1,1,Calif.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Bill Huizenga, R-Mich.","Calvin College, B.A. 1992 (political science)",,,1,1,1,Mich.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Sheila Jackson Lee, D-Texas","New York U., attended 1968-69
Yale U., B.A. 1972 (political science)
U. of Virginia, J.D. 1975",,,1,1,1,Texas,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Hank Johnson, D-Ga.","Clark College, B.A. 1976 (political science)
Texas Southern U., J.D. 1979",,,1,1,1,Ga.,1,0,1,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Walter B. Jones, R-N.C.","North Carolina State U., attended 1962-65 (history)
Atlantic Christian College, B.A. 1968 (history)",,,1,1,1,N.C.,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
