(1) went to new D (2) went to new R (3) open seat to D (4) open seat to R (5) Pa: didn’t return,,,2011,2013,2015,2017,2019,State,BA,BS,JD,PhD,MBA,MPA/MPP,MA ,MS,MPH,MD,DMD,Other bachelors,Other postgrad,JDs,Has a non-JD postgraduate degree,Has a MD,Has a bachelors or above,JD + another postgrad degree,Has a postgraduate degree,BS and Replaced,BA,BA and Replaced,NO BA or BS and Replaced,New Member,BA (Replacement),BS (Replacement),JD (Replacement),PhD (Replacement,MBA (Replacement),MPA/MPP (Replacement),MA (Replacement),MS (Replacement),MPH (Replacement),MD (Replacement),DMD (Replacement),Other bachelors,Other postgrad,,
,"Robin Kelly, D-Ill.","Bradley U., B.A. 1978 (psychology)
Bradley U., M.A. 1982 (counseling)
Northern Illinois U., Ph.D. 2004 (political science)",,,1,1,1,Ill.,1,0,0,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Alan Lowenthal, D-Calif.","Hobart College, B.A. 1962 (psychology)
Ohio State U., M.A. 1965 (psychology)
Ohio State U., Ph.D. 1967 (psychology)",,,1,1,1,Calif.,1,0,0,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"David E. Price, D-N.C.","Mars Hill College, attended 1957-59
U. of North Carolina, B.A. 1961 (American history & math)
Yale U., B.D. 1964 (theology)
Yale U., Ph.D. 1969 (political science)",,,1,1,1,N.C.,1,0,0,1,0,0,0,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Dina Titus, D-Nev.","College of William & Mary, A.B 1970 (government)
U. of Georgia, M.A. 1973 (political science)
Florida State U., Ph.D. 1976 (political science)",,,1,1,1,Nev.,1,0,0,1,0,0,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ralph Abraham, R-La.","Louisiana State U., B.S., D.V.M. 1980
Louisiana State U., M.D. 1994",,,1,1,1,La.,0,1,0,0,0,0,0,0,0,1,0,,,0,1,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Ami Bera, D-Calif.","U. of California, Irvine, B.S. 1987 (biological sciences)
U. of California, Irvine, M.D. 1991",,,1,1,1,Calif.,0,1,0,0,0,0,0,0,0,1,0,,,0,1,1,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Larry Bucshon, R-Ind.","U. of Illinois, B.S. 1984 (chemistry)
U. of Illinois, Chicago, M.D. 1988",,,1,1,1,Ind.,0,1,0,0,0,0,0,0,0,1,0,,,0,1,1,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Michael C. Burgess, R-Texas","North Texas State U., B.S. 1972 (biology)
North Texas State U., M.S. 1976 (physiology)
U. of Texas Health Science Center, Houston, M.D. 1977
U. of Texas Southwestern Medical Center, Dallas, M.S. 2000 (medical management)",,,1,1,1,Texas,0,1,0,0,0,0,0,1,0,1,0,,,0,1,1,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Emanuel Cleaver II, D-Mo.","Murray State College (Okla.), attended 1963-64
Prairie View A&M College, B.S. 1972 (sociology)
Saint Paul School of Theology, M.Div. 1974",,,1,1,1,Mo.,0,1,0,0,0,0,0,0,0,1,0,,,0,1,1,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Paul Cook, R-Calif.","Southern Connecticut State U., B.S. 1966 (education)
California State U., San Bernardino, M.P.A. 1996
U. of California, Riverside, M.A. 2000 (political science)",,,1,1,1,Calif.,0,1,0,0,0,1,1,0,0,0,0,,,0,1,0,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Scott DesJarlais, R-Tenn.","U. of South Dakota, B.S. 1987 (chemistry & psychology)
U. of South Dakota, M.D. 1991",,,1,1,1,Tenn.,0,1,0,0,0,0,0,0,0,1,0,,,0,1,1,0,0,0,FALSE,FALSE,FALSE,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
